00000 0000F9D5
00004 0006657D
00008 0007CA1F
0000C 00085F9C
00010 000936B1
00014 000ABC66
00018 000E12CB
0001C 00037494
00020 000E7697
00024 0006C9F4
00028 000FDA82
0002C 00117BB0
00030 0011E454
00034 0005A792
00038 0013416E
0003C 000D3F71
00040 001533E6
00044 00172FEE
00048 00190F10
0004C 00196B10
00050 001ADE07
00054 001200B2
00058 001CF63D
0005C 001D9631
00060 001DDE31
00064 000B544C
00068 001E82A3
0006C 0007627E
00070 0021063C
00074 00041D98
00078 0023E8F9
0007C 00198303
00080 00430546
00084 002126E4
00088 003B2278
0008C 0021A4D9
00090 003C04E5
00094 0021E1B7
00098 0021F50B
0009C 002334DB
000A0 0024DF7C
000A4 0025109E
000A8 0027FADF
000AC 0029C565
000B0 002A3101
000B4 002A401C
000B8 002B5DD1
000BC 002D091B
000C0 0032E70D
000C4 002D8CBA
000C8 002E1E2F
000CC 0032D13C
000D0 0032DA9A
000D4 003661BA
000D8 0037DFF1
000DC 003C9EAA
000E0 003D016A
000E4 003DBC1B
000E8 004A9520
000EC 004583FD
000F0 0045DD5D
000F4 0046B6A6
000F8 00476434
000FC 004B6655
00100 00038BDE
00104 0025CD5C
00108 00167433
0010C 000BA601
00110 003539C9
00114 00319C22
00118 00107585
0011C 0018C257
00120 0000C096
00124 0043EE00
00128 002B4FA9
0012C 00464436
00130 000CED88
00134 001211B2
00138 0015D797
0013C 0015ED58
00140 0042F507
00144 000BED33
00148 0015B516
0014C 003839FB
00150 002B70B2
00154 001AB912
00158 0049EE61
0015C 000CE81C
00160 004B7D48
00164 00175BCC
00168 0004D506
0016C 000D939D
00170 00165E47
00174 00441139
00178 0046C796
0017C 0047B71D
00180 003709AB
00184 0003FB39
00188 00216557
0018C 000FA8DF
00190 002260CE
00194 00138320
00198 0041756F
0019C 00174638
001A0 00176B98
001A4 0030939C
001A8 00045780
001AC 000D444A
001B0 003240F1
001B4 0010E563
001B8 000042F5
001BC 003F2B4E
001C0 002BD604
001C4 0032A333
001C8 0036EE64
001CC 001B7E32
001D0 000E8F71
001D4 00087BCF
001D8 00342088
001DC 003C7796
001E0 002A6C80
001E4 0022615A
001E8 003C656B
001EC 003B25C4
001F0 00330271
001F4 00367437
001F8 000EBB8B
001FC 0040FEDD
00200 001B145D
00204 003CF36C
00208 0015A29D
0020C 00172247
00210 0024BCCC
00214 0023665C
00218 0003274C
0021C 00183A15
00220 000A1AB3
00224 0020F0C5
00228 00251F55
0022C 00153B08
00230 0043292B
00234 0011A9F2
00238 00371596
0023C 0011B96B
00240 0037F8BC
00244 0013A957
00248 002A5EEA
0024C 0016A773
00250 0002368C
00254 002B1093
00258 003F62DB
0025C 0035D444
00260 0035AD8D
00264 002317D5
00268 0026C957
0026C 002C1B8C
00270 00401B57
00274 00108AA1
00278 0047966B
0027C 0047D3C1
00280 002A04AA
00284 001B37E8
00288 003998F7
0028C 0018AA7B
00290 0041C4A0
00294 00008DFD
00298 0033AD80
0029C 000778A5
002A0 0023B950
002A4 0031A50B
002A8 004ADCBD
002AC 00419AB9
002B0 00345C0F
002B4 0011E90F
002B8 002A6CA4
002BC 00233ABE
002C0 00379D03
002C4 0001CB20
002C8 0017AF6C
002CC 00295E28
002D0 003BF0A1
002D4 00086C8B
002D8 001EBA00
002DC 00030E0B
002E0 0044AA82
002E4 0022CB6B
002E8 001E9BDA
002EC 003A41A6
002F0 0004F108
002F4 003D6BB9
002F8 003C4039
002FC 00318F35
00300 004567E3
00304 00488B4F
00308 001058CA
0030C 002D83C8
00310 0041F163
00314 0010B062
00318 001E8777
0031C 004A57D7
00320 001F894D
00324 001928F4
00328 00450155
0032C 0032E6E2
00330 001731CB
00334 0001FA33
00338 0038EB19
0033C 00152880
00340 000B91F3
00344 0044FFC7
00348 0035D520
0034C 00127EC2
00350 00055A26
00354 001F9AB3
00358 001DEFE8
0035C 00471F2D
00360 0006EFB6
00364 003C3ED5
00368 0011A179
0036C 000FE8A0
00370 0010A15C
00374 00247A6D
00378 003871C6
0037C 0025AC6B
00380 0001E951
00384 00244326
00388 003A64F8
0038C 0047394D
00390 00335CCB
00394 001EC09E
00398 003DD895
0039C 00150A6A
003A0 003F36F3
003A4 001FE038
003A8 00312947
003AC 0020DCB3
003B0 00471848
003B4 0010D809
003B8 00269DF3
003BC 0024A8E6
003C0 002E1044
003C4 0029C027
003C8 0033324A
003CC 00274389
003D0 0013DD19
003D4 000887CD
003D8 001A4BD5
003DC 00474BFA
003E0 004AF3EC
003E4 0049F9B8
003E8 003DF0E8
003EC 000630AE
003F0 00217365
003F4 003FF0DA
003F8 000C093D
003FC 000727AE
00400 002A10B1
00404 003F2080
00408 004BB9FF
0040C 00306BE2
00410 002842B8
00414 0007F239
00418 001075B9
0041C 001D18AA
00420 002BED49
00424 0024C105
00428 00401152
0042C 00386A15
00430 00459EE2
00434 001019A3
00438 002A44ED
0043C 0017BFD0
00440 002DC08D
00444 003F8382
00448 0007E5D1
0044C 00226F74
00450 002237DF
00454 003128D2
00458 00456811
0045C 0008DF4D
00460 00200D12
00464 003A68DE
00468 0017BD53
0046C 001B39F0
00470 0030F7C6
00474 002267DA
00478 00460F4E
0047C 0009B94F
00480 00213D54
00484 00068E7A
00488 0024873E
0048C 0035F6AF
00490 001B99DD
00494 0027E002
00498 001C4F84
0049C 001EE1FA
004A0 00190422
004A4 0028A6EA
004A8 000B0D64
004AC 00444D2A
004B0 002096AD
004B4 00116649
004B8 0020E957
004BC 0039374F
004C0 00450614
004C4 004879ED
004C8 001623D6
004CC 002D49D3
004D0 0030247B
004D4 001E72AF
004D8 00413BDF
004DC 002E4CD2
004E0 0034C0F7
004E4 0028C1DB
004E8 004A6C8B
004EC 002B276C
004F0 001F24C6
004F4 0016545E
004F8 000C0F3E
004FC 001CC17B
00500 0012370E
00504 0014F521
00508 00241713
0050C 002BFFDD
00510 0038AF7E
00514 001956F3
00518 004017F2
0051C 0033566D
00520 001FA9F4
00524 004B8841
00528 00457307
0052C 0033D8FC
00530 0024E74E
00534 003EB5D4
00538 002924A4
0053C 00028C16
00540 0005AA4E
00544 000850F9
00548 00004FEF
0054C 0047CE1B
00550 000D3576
00554 000ADDA0
00558 0041FE80
0055C 003E798B
00560 003563ED
00564 002C0E3D
00568 00205553
0056C 00025232
00570 00422B4B
00574 00114960
00578 002FD2C2
0057C 002210ED
00580 00014EFB
00584 002ACE90
00588 004AF01D
0058C 0023CB8B
00590 0011DCF8
00594 0020F459
00598 001DBE8E
0059C 0002E976
005A0 001B61FE
005A4 00119CE5
005A8 003BC831
005AC 0038CA80
005B0 000D8772
005B4 0026E0EB
005B8 0028BFB0
005BC 004171DC
005C0 00355669
005C4 002933DA
005C8 00073D32
005CC 000575E3
005D0 000BAEE7
005D4 00103FA3
005D8 0035FE9D
005DC 00488126
005E0 000D168B
005E4 002E7B2C
005E8 002AA7DF
005EC 00015894
005F0 000C0823
005F4 0008F9E7
005F8 001CDEEA
005FC 0039A7FE
00600 00114769
00604 0029B6D3
00608 003D3A14
0060C 002BA538
00610 002B6A03
00614 00248699
00618 003AF596
0061C 00475D94
00620 003F9502
00624 003B997E
00628 004B8D30
0062C 0018BBFA
00630 001C6D3A
00634 001C9962
00638 0044429F
0063C 00442544
00640 001B04BB
00644 002F738B
00648 001CE064
0064C 00483F44
00650 000FB364
00654 001F3D6C
00658 00392FDA
0065C 00294B79
00660 00214D51
00664 003C621D
00668 002DD783
0066C 0042C577
00670 00309069
00674 002DD2EC
00678 00344C5A
0067C 00103BDD
00680 001D6C94
00684 00480FE5
00688 00329A7D
0068C 0038B42F
00690 00144AE5
00694 00392AB9
00698 003932FF
0069C 001467EB
006A0 00175801
006A4 0010C407
006A8 001DF3EA
006AC 000D5400
006B0 00076D5C
006B4 003F64D1
006B8 0034EA7B
006BC 0022BB08
006C0 0015F327
006C4 0011CD1D
006C8 00047E4E
006CC 0008EA10
006D0 0046D2F6
006D4 00419EDD
006D8 0031F733
006DC 00309799
006E0 0047C901
006E4 00000D6A
006E8 00305CD9
006EC 0045AB01
006F0 000ECCF5
006F4 0021F6AD
006F8 0018E446
006FC 0008FBBC
00700 0007960B
00704 003E2C60
00708 00464AF2
0070C 001BE44C
00710 0011D0C2
00714 003FE6BA
00718 0005ABC3
0071C 001ACF6E
00720 0028F2C2
00724 0021C848
00728 0029082E
0072C 0022D66D
00730 003FA293
00734 003A4781
00738 003338C5
0073C 0029662D
00740 00229F46
00744 0033FAAB
00748 000A502C
0074C 00414FE9
00750 001820BE
00754 003E604E
00758 002CBCC0
0075C 002F0B11
00760 0038510A
00764 001D7AD4
00768 001A629E
0076C 00382B4C
00770 001D0649
00774 00236778
00778 002CB6EB
0077C 00307B0D
00780 000176DB
00784 00300445
00788 00134600
0078C 001A1DB8
00790 00486C19
00794 000A0164
00798 0012EEF1
0079C 0007664F
007A0 00288425
007A4 0044F8B5
007A8 0011CB78
007AC 00484032
007B0 003C5251
007B4 0006C755
007B8 000905C5
007BC 003EF0AE
007C0 0005ADC5
007C4 000F3A3A
007C8 0007A895
007CC 0026DF7C
007D0 0029C70C
007D4 000BB8A8
007D8 0011EF24
007DC 0040BCC6
007E0 000ABBD6
007E4 00343F1B
007E8 003FE8ED
007EC 003BB26F
007F0 002219AA
007F4 002D5F02
007F8 001EB476
007FC 00456884
00800 000A1E84
00804 002455C3
00808 002718EC
0080C 0048E330
00810 0001FA38
00814 001459E8
