[0, 'invalid_register', '00000001', 1710, 'decode.dest_out']
[1, 'invalid_register', '00000001', 1710, 'decode.dest_out']
[2, 'invalid_register', '00000002', 1710, 'decode.dest_out']
[3, 'invalid_register', '00000002', 1710, 'decode.dest_out']
[4, 'invalid_register', '00000002', 1710, 'decode.dest_out']
[5, 'invalid_register', '00000004', 1710, 'decode.dest_out']
[6, 'invalid_register', '00000004', 1710, 'decode.dest_out']
[7, 'invalid_register', '00000008', 1710, 'decode.dest_out']
[8, 'invalid_register', '00000008', 1710, 'decode.dest_out']
[9, 'invalid_register', '00000008', 1710, 'decode.dest_out']
[10, 'invalid_register', '00000010', 1710, 'decode.dest_out']
[11, 'invalid_register', '00000010', 1710, 'decode.dest_out']
[12, 'invalid_register', '00000020', 1710, 'decode.dest_out']
[13, 'invalid_register', '00000020', 1710, 'decode.dest_out']
[14, 'invalid_register', '00000040', 1710, 'decode.dest_out']
[15, 'invalid_register', '00000040', 1710, 'decode.dest_out']
[16, 'invalid_register', '00000040', 1710, 'decode.dest_out']
[17, 'invalid_register', '00000080', 1710, 'decode.dest_out']
[18, 'invalid_register', '00000080', 1710, 'decode.dest_out']
[19, 'invalid_register', '00000080', 1710, 'decode.dest_out']
[20, 'invalid_register', '00000100', 1710, 'decode.dest_out']
[21, 'invalid_register', '00000100', 1710, 'decode.dest_out']
[22, 'invalid_register', '00000100', 1710, 'decode.dest_out']
[23, 'invalid_register', '00000200', 1710, 'decode.dest_out']
[24, 'invalid_register', '00000200', 1710, 'decode.dest_out']
[25, 'invalid_register', '00000200', 1710, 'decode.dest_out']
[26, 'invalid_register', '00000400', 1710, 'decode.dest_out']
[27, 'invalid_register', '00000400', 1710, 'decode.dest_out']
[28, 'invalid_register', '00000400', 1710, 'decode.dest_out']
[29, 'invalid_register', '00000800', 1710, 'decode.dest_out']
[30, 'invalid_register', '00000800', 1710, 'decode.dest_out']
[31, 'invalid_register', '00001000', 1710, 'decode.dest_out']
[32, 'invalid_register', '00001000', 1710, 'decode.dest_out']
[33, 'invalid_register', '00001000', 1710, 'decode.dest_out']
[34, 'invalid_register', '00000001', 1710, 'decode.src3_out']
[35, 'invalid_register', '00000001', 1710, 'decode.src3_out']
[36, 'invalid_register', '00000002', 1710, 'decode.src3_out']
[37, 'invalid_register', '00000002', 1710, 'decode.src3_out']
[38, 'invalid_register', '00000004', 1710, 'decode.src3_out']
[39, 'invalid_register', '00000004', 1710, 'decode.src3_out']
[40, 'invalid_register', '00000008', 1710, 'decode.src3_out']
[41, 'invalid_register', '00000010', 1710, 'decode.src3_out']
[42, 'invalid_register', '00000010', 1710, 'decode.src3_out']
[43, 'invalid_register', '00000020', 1710, 'decode.src3_out']
[44, 'invalid_register', '00000020', 1710, 'decode.src3_out']
[45, 'invalid_register', '00000040', 1710, 'decode.src3_out']
[46, 'invalid_register', '00000040', 1710, 'decode.src3_out']
[47, 'invalid_register', '00000001', 1710, 'decode.src2_out']
[48, 'invalid_register', '00000001', 1710, 'decode.src2_out']
[49, 'invalid_register', '00000002', 1710, 'decode.src2_out']
[50, 'invalid_register', '00000002', 1710, 'decode.src2_out']
[51, 'invalid_register', '00000004', 1710, 'decode.src2_out']
[52, 'invalid_register', '00000008', 1710, 'decode.src2_out']
[53, 'invalid_register', '00000008', 1710, 'decode.src2_out']
[54, 'invalid_register', '00000010', 1710, 'decode.src2_out']
