[1710, '........', '........', '..', '.', '.', '........', '........', '....', '...', '...', '........', '...............1']
[1710, '........', '........', '..', '.', '.', '........', '........', '....', '...', '...', '........', '...............1']
[1710, '........', '........', '..', '.', '.', '........', '........', '....', '...', '...', '........', '...............2']
[1710, '........', '........', '..', '.', '.', '........', '........', '....', '...', '...', '........', '...............2']
[1710, '........', '........', '..', '.', '.', '........', '........', '....', '...', '...', '........', '...............4']
[1710, '........', '........', '..', '.', '.', '........', '........', '....', '...', '...', '........', '...............4']
[1710, '........', '........', '..', '.', '.', '........', '........', '....', '...', '...', '........', '...............8']
[1710, '........', '........', '..', '.', '.', '........', '........', '....', '...', '...', '........', '...............8']
[1710, '........', '........', '..', '.', '.', '........', '........', '....', '...', '...', '........', '..............1.']
[1710, '........', '........', '..', '.', '.', '........', '........', '....', '...', '...', '........', '..............1.']
[1710, '........', '........', '..', '.', '.', '........', '........', '....', '...', '...', '........', '..............2.']
[1710, '........', '........', '..', '.', '.', '........', '........', '....', '...', '...', '........', '..............4.']
[1710, '........', '........', '..', '.', '.', '........', '........', '....', '...', '...', '........', '..............8.']
[1710, '........', '........', '..', '.', '.', '........', '........', '....', '...', '...', '........', '..............8.']
[1710, '........', '........', '..', '.', '.', '........', '........', '....', '...', '...', '........', '.............1..']
[1710, '........', '........', '..', '.', '.', '........', '........', '....', '...', '...', '........', '.............1..']
[1710, '........', '........', '..', '.', '.', '........', '........', '....', '...', '...', '........', '.............2..']
[1710, '........', '........', '..', '.', '.', '........', '........', '....', '...', '...', '........', '.............2..']
[1710, '........', '........', '..', '.', '.', '........', '........', '....', '...', '...', '........', '.............4..']
[1710, '........', '........', '..', '.', '.', '........', '........', '....', '...', '...', '........', '.............8..']
[1710, '........', '........', '..', '.', '.', '........', '........', '....', '...', '...', '........', '.............8..']
[1710, '........', '........', '..', '.', '.', '........', '........', '....', '...', '...', '........', '............1...']
[1710, '........', '........', '..', '.', '.', '........', '........', '....', '...', '...', '........', '............1...']
[1710, '........', '........', '..', '.', '.', '........', '........', '....', '...', '...', '........', '............2...']
[1710, '........', '........', '..', '.', '.', '........', '........', '....', '...', '...', '........', '............2...']
[1710, '........', '........', '..', '.', '.', '........', '........', '....', '...', '...', '........', '............4...']
[1710, '........', '........', '..', '.', '.', '........', '........', '....', '...', '...', '........', '............4...']
