[229, 'incorrect_active_threads', '00000001', 1710, 'fetch.current_mask_out']
[230, 'incorrect_active_threads', '00000001', 1710, 'fetch.current_mask_out']
[231, 'incorrect_active_threads', '00000002', 1710, 'fetch.current_mask_out']
[232, 'incorrect_active_threads', '00000004', 1710, 'fetch.current_mask_out']
[233, 'incorrect_active_threads', '00000004', 1710, 'fetch.current_mask_out']
[234, 'incorrect_active_threads', '00000008', 1710, 'fetch.current_mask_out']
[235, 'incorrect_active_threads', '00000008', 1710, 'fetch.current_mask_out']
[236, 'incorrect_active_threads', '00000010', 1710, 'fetch.current_mask_out']
[237, 'incorrect_active_threads', '00000010', 1710, 'fetch.current_mask_out']
[238, 'incorrect_active_threads', '00000020', 1710, 'fetch.current_mask_out']
[239, 'incorrect_active_threads', '00000020', 1710, 'fetch.current_mask_out']
[240, 'incorrect_active_threads', '00000040', 1710, 'fetch.current_mask_out']
[241, 'incorrect_active_threads', '00000040', 1710, 'fetch.current_mask_out']
[242, 'incorrect_active_threads', '00000080', 1710, 'fetch.current_mask_out']
[243, 'incorrect_active_threads', '00000080', 1710, 'fetch.current_mask_out']
[244, 'incorrect_active_threads', '00000100', 1710, 'fetch.current_mask_out']
[245, 'incorrect_active_threads', '00000200', 1710, 'fetch.current_mask_out']
[246, 'incorrect_active_threads', '00000400', 1710, 'fetch.current_mask_out']
[247, 'incorrect_active_threads', '00000400', 1710, 'fetch.current_mask_out']
[248, 'incorrect_active_threads', '00000800', 1710, 'fetch.current_mask_out']
[249, 'incorrect_active_threads', '00000800', 1710, 'fetch.current_mask_out']
[250, 'incorrect_active_threads', '00001000', 1710, 'fetch.current_mask_out']
[251, 'incorrect_active_threads', '00002000', 1710, 'fetch.current_mask_out']
[252, 'incorrect_active_threads', '00002000', 1710, 'fetch.current_mask_out']
[253, 'incorrect_active_threads', '00004000', 1710, 'fetch.current_mask_out']
[254, 'incorrect_active_threads', '00008000', 1710, 'fetch.current_mask_out']
[255, 'incorrect_active_threads', '00010000', 1710, 'fetch.current_mask_out']
[256, 'incorrect_active_threads', '00010000', 1710, 'fetch.current_mask_out']
[257, 'incorrect_active_threads', '00020000', 1710, 'fetch.current_mask_out']
[258, 'incorrect_active_threads', '00040000', 1710, 'fetch.current_mask_out']
[259, 'incorrect_active_threads', '00040000', 1710, 'fetch.current_mask_out']
[260, 'incorrect_active_threads', '00080000', 1710, 'fetch.current_mask_out']
[261, 'incorrect_active_threads', '00080000', 1710, 'fetch.current_mask_out']
[262, 'incorrect_active_threads', '00100000', 1710, 'fetch.current_mask_out']
[263, 'incorrect_active_threads', '00200000', 1710, 'fetch.current_mask_out']
[264, 'incorrect_active_threads', '00400000', 1710, 'fetch.current_mask_out']
[265, 'incorrect_active_threads', '00800000', 1710, 'fetch.current_mask_out']
[266, 'incorrect_active_threads', '00800000', 1710, 'fetch.current_mask_out']
[267, 'incorrect_active_threads', '01000000', 1710, 'fetch.current_mask_out']
[268, 'incorrect_active_threads', '01000000', 1710, 'fetch.current_mask_out']
[269, 'incorrect_active_threads', '02000000', 1710, 'fetch.current_mask_out']
[270, 'incorrect_active_threads', '04000000', 1710, 'fetch.current_mask_out']
[271, 'incorrect_active_threads', '04000000', 1710, 'fetch.current_mask_out']
[272, 'incorrect_active_threads', '08000000', 1710, 'fetch.current_mask_out']
[273, 'incorrect_active_threads', '08000000', 1710, 'fetch.current_mask_out']
[274, 'incorrect_active_threads', '10000000', 1710, 'fetch.current_mask_out']
[275, 'incorrect_active_threads', '10000000', 1710, 'fetch.current_mask_out']
[276, 'incorrect_active_threads', '20000000', 1710, 'fetch.current_mask_out']
[277, 'incorrect_active_threads', '40000000', 1710, 'fetch.current_mask_out']
[278, 'incorrect_active_threads', '40000000', 1710, 'fetch.current_mask_out']
[279, 'incorrect_active_threads', '80000000', 1710, 'fetch.current_mask_out']
[280, 'incorrect_active_threads', '80000000', 1710, 'fetch.current_mask_out']
[336, 'incorrect_active_CTA(block)', '1', 1710, 'fetch.cta_id_out']
[337, 'incorrect_active_CTA(block)', '1', 1710, 'fetch.cta_id_out']
[338, 'incorrect_active_CTA(block)', '2', 1710, 'fetch.cta_id_out']
[339, 'incorrect_active_CTA(block)', '2', 1710, 'fetch.cta_id_out']
[340, 'incorrect_active_CTA(block)', '4', 1710, 'fetch.cta_id_out']
