[1710, '00000000', '00000000', '00', '0', '0', '00000000', '00000000', '0000', '000', '000', '00000000', '0000000000000000']
[1710, '00000000', '00000000', '00', '0', '0', '00000000', '00000000', '0000', '000', '000', '00000000', '0000000000000000']
[1710, '00000000', '00000000', '00', '0', '0', '00000000', '00000000', '0000', '000', '000', '00000000', '0000000000000000']
[1710, '00000000', '00000000', '00', '0', '0', '00000000', '00000000', '0000', '000', '000', '00000000', '0000000000000000']
[41970, '00000001', '00000000', '1f', '0', '0', 'ffffffff', 'ffffffff', '0000', '008', '0f8', '00000008', '0023c78010004205']
[41970, '00000001', '00000000', '1f', '0', '0', 'ffffffff', 'ffffffff', '0000', '008', '0f8', '00000008', '0023c78010004205']
[41970, '00000001', '00000000', '1f', '0', '0', 'ffffffff', 'ffffffff', '0000', '008', '0f8', '00000008', '0023c78010004205']
[41970, '00000001', '00000000', '1f', '0', '0', 'ffffffff', 'ffffffff', '0000', '008', '0f8', '00000008', '0023c78010004205']
[41970, '00000001', '00000000', '1f', '0', '0', 'ffffffff', 'ffffffff', '0000', '008', '0f8', '00000008', '0023c78010004205']
[41970, '00000001', '00000000', '1f', '0', '0', 'ffffffff', 'ffffffff', '0000', '008', '0f8', '00000008', '0023c78010004205']
[41970, '00000001', '00000000', '1f', '0', '0', 'ffffffff', 'ffffffff', '0000', '008', '0f8', '00000008', '0023c78010004205']
[41970, '00000001', '00000000', '1f', '0', '0', 'ffffffff', 'ffffffff', '0000', '008', '0f8', '00000008', '0023c78010004205']
[41970, '00000001', '00000000', '1f', '0', '0', 'ffffffff', 'ffffffff', '0000', '008', '0f8', '00000008', '0023c78010004205']
[49070, '00000003', '00000008', '1f', '0', '0', 'ffffffff', 'ffffffff', '0000', '008', '0f8', '00000010', '04000780a0000005']
[49070, '00000003', '00000008', '1f', '0', '0', 'ffffffff', 'ffffffff', '0000', '008', '0f8', '00000010', '04000780a0000005']
[49070, '00000003', '00000008', '1f', '0', '0', 'ffffffff', 'ffffffff', '0000', '008', '0f8', '00000010', '04000780a0000005']
[49070, '00000003', '00000008', '1f', '0', '0', 'ffffffff', 'ffffffff', '0000', '008', '0f8', '00000010', '04000780a0000005']
[49070, '00000003', '00000008', '1f', '0', '0', 'ffffffff', 'ffffffff', '0000', '008', '0f8', '00000010', '04000780a0000005']
[49070, '00000003', '00000008', '1f', '0', '0', 'ffffffff', 'ffffffff', '0000', '008', '0f8', '00000010', '04000780a0000005']
