[34370, 'XxxxxXXx', '..', '2', 'X', '.xXXxxxx', 'XX..', '...', 'xXX', '..']
[34370, 'XxxxxXXx', '..', '2', 'X', '.xXXxxxx', 'XX..', '...', 'xXX', '..']
[34370, 'XxxxxXXx', '..', '2', 'X', '.xXXxxxx', 'XX..', '...', 'xXX', '..']
[34370, 'XxxxxXXx', '..', '2', 'X', '.xXXxxxx', 'XX..', '...', 'xXX', '..']
[34370, 'XxxxxXXx', '..', '2', 'X', '.xXXxxxx', 'XX..', '...', 'xXX', '..']
[34370, 'xxxxxxxx', '..', '3', 'x', 'xxxxxxxx', 'xxxx', '...', 'xxx', '..']
[34370, 'xxxxxxxx', '..', '3', 'x', 'xxxxxxxx', 'xxxx', '...', 'xxx', '..']
[34370, 'xxxxxxxx', '..', '3', 'x', 'xxxxxxxx', 'xxxx', '...', 'xxx', '..']
[34370, 'xxxxxxxx', '..', '3', 'x', 'xxxxxxxx', 'xxxx', '...', 'xxx', '..']
[34370, 'xxxxxxxx', '..', '3', 'x', 'xxxxxxxx', 'xxxx', '...', 'xxx', '..']
[34370, 'xxxxxxxx', 'xx', 'x', 'x', 'xxxxxxxx', 'xxxx', '.xx', 'xxx', '..']
[34370, 'xxxxxxxx', 'xx', 'x', 'x', 'xxxxxxxx', 'xxxx', '.xx', 'xxx', '..']
[34370, 'xxxxxxxx', 'xx', 'x', 'x', 'xxxxxxxx', 'xxxx', '.xx', 'xxx', '..']
[34370, 'xxxxxxxx', 'xx', 'x', 'x', 'xxxxxxxx', 'xxxx', '.xx', 'xxx', '..']
[34370, 'xxxxxxxx', 'xx', 'x', 'x', 'xxxxxxxx', 'xxxx', '.xx', 'xxx', '..']
[34370, 'xxxxxxxx', 'xx', 'x', 'x', 'xxxxxxxx', 'xxxx', '.xx', 'xxx', '..']
[34370, 'xxxxxxxx', 'xx', 'x', 'x', 'xxxxxxxx', 'xxxx', '.xx', 'xxx', '..']
[34370, 'xxxxxxxx', 'xx', 'x', 'x', 'xxxxxxxx', 'xxxx', '.xx', 'xxx', '..']
[34386, '........', '..', '.', '.', '........', '...X', '...', '...', '..']
[34386, '........', '..', '.', '.', '........', '..X.', '...', '...', '..']
[34386, '........', '..', '.', '.', '........', '.X..', '...', '...', '..']
[34386, '........', '..', '.', '.', '........', 'X...', '...', '...', '..']
[34386, '........', '..', '.', '.', '........', 'xXxX', '...', '...', '..']
[34386, '........', '..', '.', '.', '........', 'xxxx', '...', '...', '..']
[34386, 'xxxxxxxx', '..', '.', 'x', 'xxxxxxxx', 'xxxx', '...', 'xxx', '..']
[34386, 'xxxxxxxx', '..', '.', 'x', 'xxxxxxxx', 'xxxx', '...', 'xxx', '..']
[34386, 'xxxxxxxx', '..', '.', 'x', 'xxxxxxxx', 'xxxx', '...', 'xxx', '..']
[34386, 'xxxxxxxx', '..', '.', 'x', 'xxxxxxxx', 'xxxx', '...', 'xxx', '..']
[34386, 'xxxxxxxx', '..', '.', 'x', 'xxxxxxxx', 'xxxx', '...', 'xxx', '..']
[34386, 'xxxxxxxx', '..', '.', 'x', 'xxxxxxxx', 'xxxx', '...', 'xxx', '..']
[34386, 'xxxxxxxx', '..', '.', 'x', 'xxxxxxxx', 'xxxx', '...', 'xxx', '..']
[34386, 'xxxxxxxx', '..', '.', 'x', 'xxxxxxxx', 'xxxx', '...', 'xxx', '..']
[34386, 'xxxxxxxx', '..', '.', 'x', 'xxxxxxxx', 'xxxx', '...', 'xxx', '..']
[34386, 'xxxxxxxx', '..', '.', 'x', 'xxxxxxxx', 'xxxx', '...', 'xxx', '..']
[34386, 'xxxxxxxx', '..', '.', 'x', 'xxxxxxxx', 'xxxx', '...', 'xxx', '..']
[34386, 'xxxxxxxx', '..', '.', 'x', 'xxxxxxxx', 'xxxx', '...', 'xxx', '..']
[34386, 'xxxxxxxx', '..', '.', 'x', 'xxxxxxxx', 'xxxx', '...', 'xxx', '..']
[34386, 'xxxxxxxx', '..', '.', 'x', 'xxxxxxxx', 'xxxx', '...', 'xxx', '..']
[34386, 'xxxxxxxx', '..', '.', 'x', 'xxxxxxxx', 'xxxx', '...', 'xxx', '..']
[34386, 'xxxxxxxx', '..', '.', 'x', 'xxxxxxxx', 'xxxx', '...', 'xxx', '..']
[34386, 'xxxxxxxx', '..', '.', 'x', 'xxxxxxxx', 'xxxx', '...', 'xxx', '..']
[34386, 'xxxxxxxx', '..', '.', 'x', 'xxxxxxxx', 'xxxx', '...', 'xxx', '..']
[34386, 'xxxxxxxx', '..', '.', 'x', 'xxxxxxxx', 'xxxx', '...', 'xxx', '..']
[34386, 'xxxxxxxx', '..', '.', 'x', 'xxxxxxxx', 'xxxx', '...', 'xxx', '..']
[34386, 'xxxxxxxx', '..', '.', 'x', 'xxxxxxxx', 'xxxx', '...', 'xxx', '..']
[34386, 'xxxxxxxx', '..', '.', 'x', 'xxxxxxxx', 'xxxx', '...', 'xxx', '..']
[34386, 'xxxxxxxx', '..', '.', 'x', 'xxxxxxxx', 'xxxx', '...', 'xxx', '..']
[34386, 'xxxxxxxx', '..', '.', 'x', 'xxxxxxxx', 'xxxx', '...', 'xxx', '..']
[34386, 'xxxxxxxx', '..', '.', 'x', 'xxxxxxxx', 'xxxx', '...', 'xxx', '..']
[34386, 'xxxxxxxx', '..', '.', 'x', 'xxxxxxxx', 'xxxx', '...', 'xxx', '..']
[34386, 'xxxxxxxx', '..', '.', 'x', 'xxxxxxxx', 'xxxx', '...', 'xxx', '..']
[34386, 'xxxxxxxx', '..', '.', 'x', 'xxxxxxxx', 'xxxx', '...', 'xxx', '..']
[34386, 'xxxxxxxx', '..', '.', 'x', 'xxxxxxxx', 'xxxx', '...', 'xxx', '..']
[34386, 'xxxxxxxx', '..', '.', 'x', 'xxxxxxxx', 'xxxx', '...', 'xxx', '..']
[34386, 'xxxxxxxx', '..', '.', 'x', 'xxxxxxxx', 'xxxx', '...', 'xxx', '..']
[34386, 'xxxxxxxx', '..', '.', 'x', 'xxxxxxxx', 'xxxx', '...', 'xxx', '..']
[34386, 'xxxxxxxx', '..', '.', 'x', 'xxxxxxxx', 'xxxx', '...', 'xxx', '..']
[34386, 'xxxxxxxx', '..', '.', 'x', 'xxxxxxxx', 'xxxx', '...', 'xxx', '..']
[34386, 'xxxxxxxx', '..', '.', 'x', 'xxxxxxxx', 'xxxx', '...', 'xxx', '..']
[34386, 'xxxxxxxx', '..', '.', 'x', 'xxxxxxxx', 'xxxx', '...', 'xxx', '..']
