[34370, '........', '..', '.', '.', '........', '....', '...', '...', '.1']
[34370, '........', '..', '.', '.', '........', '....', '...', '...', '.1']
[34370, '........', '..', '.', '.', '........', '....', '...', '...', '.1']
[34370, '........', '..', '.', '.', '........', '....', '...', '...', '.1']
[34370, '........', '..', '.', '.', '........', '....', '...', '...', '.1']
[34370, '........', '..', '.', '.', '........', '....', '...', '...', '.1']
[34370, '........', '..', '.', '.', '........', '....', '...', '...', '.1']
[34370, '........', '..', '.', '.', '........', '....', '...', '...', '.1']
[34370, '........', '..', '.', '.', '........', '....', '...', '...', '.1']
[34370, '........', '..', '.', '.', '........', '....', '...', '...', '.1']
[34370, '........', '..', '.', '.', '........', '....', '...', '...', '.1']
[34370, '........', '..', '.', '.', '........', '....', '...', '...', '.1']
[34370, '........', '..', '.', '.', '........', '....', '...', '...', '.1']
[34370, '........', '..', '.', '.', '........', '....', '...', '...', '.1']
[34370, '........', '..', '.', '.', '........', '....', '...', '...', '.1']
[34370, '........', '..', '.', '.', '........', '....', '...', '...', '.1']
[34370, '........', '..', '.', '.', '........', '....', '...', '...', '.1']
[34370, '........', '..', '.', '.', '........', '....', '...', '...', '.1']
[34370, '........', '..', '.', '.', '........', '....', '...', '...', '.1']
[34370, '........', '..', '.', '.', '........', '....', '...', '...', '.1']
[34370, '........', '..', '.', '.', '........', '....', '...', '...', '.1']
[34370, '........', '..', '.', '.', '........', '....', '...', '...', '.1']
[34370, '........', '..', '.', '.', '........', '....', '...', '...', '.1']
[34370, '........', '..', '.', '.', '........', '....', '...', '...', '.1']
[34370, '........', '..', '.', '.', '........', '....', '...', '...', '.1']
[34370, '........', '..', '.', '.', '........', '....', '...', '...', '.1']
[34370, '........', '..', '.', '.', '........', '....', '...', '...', '.1']
[34370, '........', '..', '.', '.', '........', '....', '...', '...', '.1']
[34370, '........', '..', '.', '.', '........', '....', '...', '...', '.1']
[34370, '........', '..', '.', '.', '........', '....', '...', '...', '.2']
[34370, '........', '..', '.', '.', '........', '....', '...', '...', '.2']
[34370, '........', '..', '.', '.', '........', '....', '...', '...', '.3']
[34370, '........', '..', '.', '.', '........', '....', '...', '...', '.4']
[34370, '........', '..', '.', '.', '........', '....', '...', '...', '.4']
[34370, '........', '..', '.', '.', '........', '....', '...', '...', '.4']
[34370, '........', '..', '.', '.', '........', '....', '...', '...', '.4']
[34370, '........', '..', '.', '.', '........', '....', '...', '...', '.4']
[34370, '........', '..', '.', '.', '........', '....', '...', '...', '.4']
[34370, '........', '..', '.', '.', '........', '....', '...', '...', '.4']
[34370, '........', '..', '.', '.', '........', '....', '...', '...', '.4']
[34370, '........', '..', '.', '.', '........', '....', '...', '...', '.8']
[34370, '........', '..', '.', '.', '........', '....', '...', '...', '.8']
[34370, '........', '..', '.', '.', '........', '....', '...', '...', '.8']
[34370, '........', '..', '.', '.', '........', '....', '...', '...', '.8']
[34370, '........', '..', '.', '.', '........', '....', '...', '...', '.8']
[34370, '........', '..', '.', '.', '........', '....', '...', '...', '.8']
[34370, '........', '..', '.', '.', '........', '....', '...', '...', '.8']
[34370, '........', '..', '.', '.', '........', '....', '...', '...', '.8']
[34370, '........', '..', '.', '.', '........', '....', '...', '...', '.8']
[34370, '........', '..', '.', '.', '........', '....', '...', '...', '1.']
[34370, '........', '..', '.', '.', '........', '....', '...', '...', '1.']
[34370, '........', '..', '.', '.', '........', '....', '...', '...', '1.']
[34370, '........', '..', '.', '.', '........', '....', '...', '...', '1.']
[34370, '........', '..', '.', '.', '........', '....', '...', '...', '1.']
[34370, '........', '..', '.', '.', '........', '....', '...', '...', '1.']
[34370, '........', '..', '.', '.', '........', '....', '...', '...', '1.']
[34370, '........', '..', '.', '.', '........', '....', '...', '...', '1.']
[34370, '........', '..', '.', '.', '........', '....', '...', '...', '1.']
[34370, '........', '..', '.', '.', '........', '....', '...', '...', '1.']
[34370, '........', '..', '.', '.', '........', '....', '...', '...', '1.']
[34370, '........', '..', '.', '.', '........', '....', '...', '...', '1.']
[34370, '........', '..', '.', '.', '........', '....', '...', '...', '1.']
[34370, '........', '..', '.', '.', '........', '....', '...', '...', '1.']
[34370, '........', '..', '.', '.', '........', '....', '...', '...', '1.']
[34370, '........', '..', '.', '.', '........', '....', '...', '...', '11']
[34370, '........', '..', '.', '.', '........', '....', '...', '...', '12']
[34370, '........', '..', '.', '.', '........', '....', '...', '...', '18']
[34370, '........', '..', '.', '.', '........', '....', '...', '...', '18']
[34370, '........', '..', '.', '.', '........', '....', '...', '...', '18']
[34370, '........', '..', '.', '.', '........', '....', '...', '...', '18']
[34370, '........', '..', '.', '.', '........', '....', '...', '...', '18']
[34370, '........', '..', '.', '.', '........', '....', '...', '...', '18']
[34370, '........', '..', '.', '.', '........', '....', '...', '...', '18']
[34370, '........', '..', '.', '.', '........', '....', '...', '...', '18']
[34370, '........', '..', '.', '.', '........', '....', '...', '...', '19']
[34370, '........', '..', '.', '.', '........', '....', '...', '...', '1c']
[34370, '........', '..', '.', '.', '........', '....', '...', '...', '1c']
[34370, '........', '..', '.', '.', '........', '....', '...', '...', '1c']
[34370, '........', '..', '.', '.', '........', '....', '...', '...', '1c']
[34370, '........', '..', '.', '.', '........', '....', '...', '...', '1c']
[34370, '........', '..', '.', '.', '........', '....', '...', '...', '1c']
