[0, 'incorrect_parallel_parameters', '01', 34370, 'warp_unit.num_warps_out']
[1, 'incorrect_parallel_parameters', '01', 34370, 'warp_unit.num_warps_out']
[2, 'incorrect_parallel_parameters', '01', 34370, 'warp_unit.num_warps_out']
[3, 'incorrect_parallel_parameters', '01', 34370, 'warp_unit.num_warps_out']
[4, 'incorrect_parallel_parameters', '01', 34370, 'warp_unit.num_warps_out']
[5, 'incorrect_parallel_parameters', '01', 34370, 'warp_unit.num_warps_out']
[6, 'incorrect_parallel_parameters', '01', 34370, 'warp_unit.num_warps_out']
[7, 'incorrect_parallel_parameters', '01', 34370, 'warp_unit.num_warps_out']
[8, 'incorrect_parallel_parameters', '01', 34370, 'warp_unit.num_warps_out']
[9, 'incorrect_parallel_parameters', '01', 34370, 'warp_unit.num_warps_out']
[10, 'incorrect_parallel_parameters', '01', 34370, 'warp_unit.num_warps_out']
[11, 'incorrect_parallel_parameters', '01', 34370, 'warp_unit.num_warps_out']
[12, 'incorrect_parallel_parameters', '01', 34370, 'warp_unit.num_warps_out']
[13, 'incorrect_parallel_parameters', '01', 34370, 'warp_unit.num_warps_out']
[14, 'incorrect_parallel_parameters', '01', 34370, 'warp_unit.num_warps_out']
[15, 'incorrect_parallel_parameters', '01', 34370, 'warp_unit.num_warps_out']
[16, 'incorrect_parallel_parameters', '01', 34370, 'warp_unit.num_warps_out']
[17, 'incorrect_parallel_parameters', '01', 34370, 'warp_unit.num_warps_out']
[18, 'incorrect_parallel_parameters', '01', 34370, 'warp_unit.num_warps_out']
[19, 'incorrect_parallel_parameters', '01', 34370, 'warp_unit.num_warps_out']
[20, 'incorrect_parallel_parameters', '01', 34370, 'warp_unit.num_warps_out']
[21, 'incorrect_parallel_parameters', '01', 34370, 'warp_unit.num_warps_out']
[22, 'incorrect_parallel_parameters', '01', 34370, 'warp_unit.num_warps_out']
[23, 'incorrect_parallel_parameters', '01', 34370, 'warp_unit.num_warps_out']
[24, 'incorrect_parallel_parameters', '01', 34370, 'warp_unit.num_warps_out']
[25, 'incorrect_parallel_parameters', '01', 34370, 'warp_unit.num_warps_out']
[26, 'incorrect_parallel_parameters', '01', 34370, 'warp_unit.num_warps_out']
[27, 'incorrect_parallel_parameters', '01', 34370, 'warp_unit.num_warps_out']
[28, 'incorrect_parallel_parameters', '01', 34370, 'warp_unit.num_warps_out']
[29, 'incorrect_parallel_parameters', '02', 34370, 'warp_unit.num_warps_out']
[30, 'incorrect_parallel_parameters', '02', 34370, 'warp_unit.num_warps_out']
[31, 'incorrect_parallel_parameters', '03', 34370, 'warp_unit.num_warps_out']
[32, 'incorrect_parallel_parameters', '04', 34370, 'warp_unit.num_warps_out']
[33, 'incorrect_parallel_parameters', '04', 34370, 'warp_unit.num_warps_out']
[34, 'incorrect_parallel_parameters', '04', 34370, 'warp_unit.num_warps_out']
[35, 'incorrect_parallel_parameters', '04', 34370, 'warp_unit.num_warps_out']
[36, 'incorrect_parallel_parameters', '04', 34370, 'warp_unit.num_warps_out']
[37, 'incorrect_parallel_parameters', '04', 34370, 'warp_unit.num_warps_out']
[38, 'incorrect_parallel_parameters', '04', 34370, 'warp_unit.num_warps_out']
[39, 'incorrect_parallel_parameters', '04', 34370, 'warp_unit.num_warps_out']
[40, 'incorrect_parallel_parameters', '08', 34370, 'warp_unit.num_warps_out']
[41, 'incorrect_parallel_parameters', '08', 34370, 'warp_unit.num_warps_out']
[42, 'incorrect_parallel_parameters', '08', 34370, 'warp_unit.num_warps_out']
[43, 'incorrect_parallel_parameters', '08', 34370, 'warp_unit.num_warps_out']
[44, 'incorrect_parallel_parameters', '08', 34370, 'warp_unit.num_warps_out']
[45, 'incorrect_parallel_parameters', '08', 34370, 'warp_unit.num_warps_out']
[46, 'incorrect_parallel_parameters', '08', 34370, 'warp_unit.num_warps_out']
[47, 'incorrect_parallel_parameters', '08', 34370, 'warp_unit.num_warps_out']
[48, 'incorrect_parallel_parameters', '08', 34370, 'warp_unit.num_warps_out']
[49, 'incorrect_parallel_parameters', '10', 34370, 'warp_unit.num_warps_out']
[50, 'incorrect_parallel_parameters', '10', 34370, 'warp_unit.num_warps_out']
[51, 'incorrect_parallel_parameters', '10', 34370, 'warp_unit.num_warps_out']
[52, 'incorrect_parallel_parameters', '10', 34370, 'warp_unit.num_warps_out']
[53, 'incorrect_parallel_parameters', '10', 34370, 'warp_unit.num_warps_out']
[54, 'incorrect_parallel_parameters', '10', 34370, 'warp_unit.num_warps_out']
[55, 'incorrect_parallel_parameters', '10', 34370, 'warp_unit.num_warps_out']
[56, 'incorrect_parallel_parameters', '10', 34370, 'warp_unit.num_warps_out']
[57, 'incorrect_parallel_parameters', '10', 34370, 'warp_unit.num_warps_out']
[58, 'incorrect_parallel_parameters', '10', 34370, 'warp_unit.num_warps_out']
[59, 'incorrect_parallel_parameters', '10', 34370, 'warp_unit.num_warps_out']
[60, 'incorrect_parallel_parameters', '10', 34370, 'warp_unit.num_warps_out']
[61, 'incorrect_parallel_parameters', '10', 34370, 'warp_unit.num_warps_out']
[62, 'incorrect_parallel_parameters', '10', 34370, 'warp_unit.num_warps_out']
[63, 'incorrect_parallel_parameters', '10', 34370, 'warp_unit.num_warps_out']
[64, 'incorrect_parallel_parameters', '11', 34370, 'warp_unit.num_warps_out']
[65, 'incorrect_parallel_parameters', '12', 34370, 'warp_unit.num_warps_out']
[66, 'incorrect_parallel_parameters', '18', 34370, 'warp_unit.num_warps_out']
[67, 'incorrect_parallel_parameters', '18', 34370, 'warp_unit.num_warps_out']
[68, 'incorrect_parallel_parameters', '18', 34370, 'warp_unit.num_warps_out']
[69, 'incorrect_parallel_parameters', '18', 34370, 'warp_unit.num_warps_out']
[70, 'incorrect_parallel_parameters', '18', 34370, 'warp_unit.num_warps_out']
[71, 'incorrect_parallel_parameters', '18', 34370, 'warp_unit.num_warps_out']
[72, 'incorrect_parallel_parameters', '18', 34370, 'warp_unit.num_warps_out']
[73, 'incorrect_parallel_parameters', '18', 34370, 'warp_unit.num_warps_out']
[74, 'incorrect_parallel_parameters', '19', 34370, 'warp_unit.num_warps_out']
[75, 'incorrect_parallel_parameters', '1c', 34370, 'warp_unit.num_warps_out']
[76, 'incorrect_parallel_parameters', '1c', 34370, 'warp_unit.num_warps_out']
[77, 'incorrect_parallel_parameters', '1c', 34370, 'warp_unit.num_warps_out']
[78, 'incorrect_parallel_parameters', '1c', 34370, 'warp_unit.num_warps_out']
[79, 'incorrect_parallel_parameters', '1c', 34370, 'warp_unit.num_warps_out']
[80, 'incorrect_parallel_parameters', '1c', 34370, 'warp_unit.num_warps_out']
[81, 'incorrect_parallel_parameters', '1c', 34370, 'warp_unit.num_warps_out']
[82, 'incorrect_parallel_parameters', '1c', 34370, 'warp_unit.num_warps_out']
[83, 'incorrect_parallel_parameters', '1d', 34370, 'warp_unit.num_warps_out']
[84, 'incorrect_parallel_parameters', '1e', 34370, 'warp_unit.num_warps_out']
[85, 'incorrect_parallel_parameters', '1e', 34370, 'warp_unit.num_warps_out']
[86, 'incorrect_parallel_parameters', '1e', 34370, 'warp_unit.num_warps_out']
[87, 'incorrect_parallel_parameters', '1e', 34370, 'warp_unit.num_warps_out']
[88, 'incorrect_parallel_parameters', '1e', 34370, 'warp_unit.num_warps_out']
[89, 'incorrect_parallel_parameters', '1e', 34370, 'warp_unit.num_warps_out']
[90, 'incorrect_parallel_parameters', '1e', 34370, 'warp_unit.num_warps_out']
[91, 'incorrect_parallel_parameters', '1f', 34370, 'warp_unit.num_warps_out']
[92, 'incorrect_parallel_parameters', '1f', 34370, 'warp_unit.num_warps_out']
[93, 'incorrect_parallel_parameters', '1f', 34370, 'warp_unit.num_warps_out']
[94, 'incorrect_parallel_parameters', '1f', 34370, 'warp_unit.num_warps_out']
[95, 'incorrect_parallel_parameters', '1f', 34370, 'warp_unit.num_warps_out']
[96, 'incorrect_register_addressed', '001', 34370, 'warp_unit.gprs_base_addr_out']
[97, 'incorrect_register_addressed', '002', 34370, 'warp_unit.gprs_base_addr_out']
[98, 'incorrect_register_addressed', '004', 34370, 'warp_unit.gprs_base_addr_out']
[99, 'incorrect_register_addressed', '008', 34370, 'warp_unit.gprs_base_addr_out']
[100, 'incorrect_register_addressed', '010', 34370, 'warp_unit.gprs_base_addr_out']
[101, 'incorrect_register_addressed', '020', 34370, 'warp_unit.gprs_base_addr_out']
[102, 'incorrect_register_addressed', '040', 34370, 'warp_unit.gprs_base_addr_out']
[103, 'incorrect_register_addressed', '080', 34370, 'warp_unit.gprs_base_addr_out']
[104, 'incorrect_register_addressed', '100', 34370, 'warp_unit.gprs_base_addr_out']
[105, 'incorrect_register_addressed', '001', 34370, 'warp_unit.gprs_size_out']
[106, 'incorrect_register_addressed', '002', 34370, 'warp_unit.gprs_size_out']
[107, 'incorrect_register_addressed', '004', 34370, 'warp_unit.gprs_size_out']
[108, 'incorrect_register_addressed', '008', 34370, 'warp_unit.gprs_size_out']
[109, 'incorrect_register_addressed', '010', 34370, 'warp_unit.gprs_size_out']
[110, 'incorrect_register_addressed', '020', 34370, 'warp_unit.gprs_size_out']
[111, 'incorrect_register_addressed', '040', 34370, 'warp_unit.gprs_size_out']
[112, 'incorrect_register_addressed', '080', 34370, 'warp_unit.gprs_size_out']
[113, 'incorrect_register_addressed', '100', 34370, 'warp_unit.gprs_size_out']
[114, 'incorrect_parallel_parameters', '0001', 34370, 'warp_unit.shmem_base_addr_out']
[115, 'incorrect_parallel_parameters', '0002', 34370, 'warp_unit.shmem_base_addr_out']
[116, 'incorrect_parallel_parameters', '0004', 34370, 'warp_unit.shmem_base_addr_out']
[117, 'incorrect_parallel_parameters', '0008', 34370, 'warp_unit.shmem_base_addr_out']
[118, 'incorrect_parallel_parameters', '0010', 34370, 'warp_unit.shmem_base_addr_out']
[119, 'incorrect_parallel_parameters', '0020', 34370, 'warp_unit.shmem_base_addr_out']
[120, 'incorrect_parallel_parameters', '0040', 34370, 'warp_unit.shmem_base_addr_out']
[121, 'incorrect_parallel_parameters', '0080', 34370, 'warp_unit.shmem_base_addr_out']
[122, 'incorrect_parallel_parameters', '0100', 34370, 'warp_unit.shmem_base_addr_out']
[123, 'incorrect_parallel_parameters', '0200', 34370, 'warp_unit.shmem_base_addr_out']
[124, 'incorrect_parallel_parameters', '0400', 34370, 'warp_unit.shmem_base_addr_out']
[125, 'incorrect_parallel_parameters', '0800', 34370, 'warp_unit.shmem_base_addr_out']
[126, 'incorrect_parallel_parameters', '1000', 34370, 'warp_unit.shmem_base_addr_out']
[127, 'incorrect_parallel_parameters', '2000', 34370, 'warp_unit.shmem_base_addr_out']
[204, 'incorrect_parallel_parameters', '01', 34376, 'warp_unit.num_warps_out']
[205, 'incorrect_parallel_parameters', '02', 34376, 'warp_unit.num_warps_out']
[206, 'incorrect_register_addressed', '001', 34376, 'warp_unit.gprs_base_addr_out']
[207, 'incorrect_register_addressed', '002', 34376, 'warp_unit.gprs_base_addr_out']
[208, 'incorrect_register_addressed', '004', 34376, 'warp_unit.gprs_base_addr_out']
[209, 'incorrect_register_addressed', '008', 34376, 'warp_unit.gprs_base_addr_out']
[210, 'incorrect_register_addressed', '010', 34376, 'warp_unit.gprs_base_addr_out']
[211, 'incorrect_register_addressed', '020', 34376, 'warp_unit.gprs_base_addr_out']
[212, 'incorrect_register_addressed', '020', 34376, 'warp_unit.gprs_base_addr_out']
[213, 'incorrect_register_addressed', '040', 34376, 'warp_unit.gprs_base_addr_out']
[214, 'incorrect_register_addressed', '080', 34376, 'warp_unit.gprs_base_addr_out']
[215, 'incorrect_register_addressed', '080', 34376, 'warp_unit.gprs_base_addr_out']
[216, 'incorrect_register_addressed', '100', 34376, 'warp_unit.gprs_base_addr_out']
[217, 'incorrect_register_addressed', '001', 34376, 'warp_unit.gprs_size_out']
[218, 'incorrect_register_addressed', '002', 34376, 'warp_unit.gprs_size_out']
[219, 'incorrect_register_addressed', '002', 34376, 'warp_unit.gprs_size_out']
[220, 'incorrect_register_addressed', '004', 34376, 'warp_unit.gprs_size_out']
[221, 'incorrect_register_addressed', '004', 34376, 'warp_unit.gprs_size_out']
[222, 'incorrect_register_addressed', '008', 34376, 'warp_unit.gprs_size_out']
[223, 'incorrect_register_addressed', '008', 34376, 'warp_unit.gprs_size_out']
[224, 'incorrect_register_addressed', '010', 34376, 'warp_unit.gprs_size_out']
[225, 'incorrect_register_addressed', '010', 34376, 'warp_unit.gprs_size_out']
[226, 'incorrect_register_addressed', '020', 34376, 'warp_unit.gprs_size_out']
[227, 'incorrect_register_addressed', '040', 34376, 'warp_unit.gprs_size_out']
[228, 'incorrect_register_addressed', '040', 34376, 'warp_unit.gprs_size_out']
[229, 'incorrect_register_addressed', '080', 34376, 'warp_unit.gprs_size_out']
[230, 'incorrect_register_addressed', '080', 34376, 'warp_unit.gprs_size_out']
[231, 'incorrect_register_addressed', '100', 34376, 'warp_unit.gprs_size_out']
[232, 'incorrect_parallel_parameters', '0001', 34376, 'warp_unit.shmem_base_addr_out']
[233, 'incorrect_parallel_parameters', '0001', 34376, 'warp_unit.shmem_base_addr_out']
[234, 'incorrect_parallel_parameters', '0002', 34376, 'warp_unit.shmem_base_addr_out']
[235, 'incorrect_parallel_parameters', '0002', 34376, 'warp_unit.shmem_base_addr_out']
[236, 'incorrect_parallel_parameters', '0004', 34376, 'warp_unit.shmem_base_addr_out']
